sample,on_aC,conv_angle,N,median_r,p90_r,unique_frac,wrapped_frac,rayleigh_n,rayleigh_p,ks_vs_null
single NP [111],False,1.5,100,0.358224313148788,0.47715638904975677,0.0,0.11,100,0.05698403522355044,0.07901000000000002
single NP [111],False,3.0,250,0.371035803902819,0.48674619742494407,0.008,0.18,248,0.5284124628738752,0.04676999999999998
single NP [111],False,6.0,187,0.3140890569623968,0.475020991227496,0.0427807486631016,0.0855614973262032,179,0.3733854505249974,0.17601258021390376
single NP [111],False,12.0,11,0.0006126727022229975,0.0010652968105163674,1.0,0.0,0,,0.999995
single NP [111],True,1.5,59,0.4048958156032325,0.5040957105576488,0.03389830508474576,0.22033898305084745,57,0.6144840410250433,0.1139810593220339
single NP [111],True,3.0,110,0.34822490879882884,0.4933258129055118,0.0,0.09090909090909091,110,0.4378427138661996,0.11952704545454551
single NP [111],True,6.0,118,0.1391082450681816,0.4339094607066722,0.11864406779661017,0.025423728813559324,104,0.5266625503910571,0.5130990254237289
single NP [111],True,12.0,100,0.0006005704583547709,0.0011925178936233463,1.0,0.0,0,,0.999995
"two NPs, upper [111]",False,1.5,1,0.2539342614225462,0.2539342614225462,0.0,0.0,1,,0.76695
"two NPs, upper [111]",False,3.0,32,0.370672291492605,0.4831680766217222,0.0,0.15625,32,0.03715606007156016,0.17508500000000005
"two NPs, upper [111]",False,6.0,53,0.1747956226467108,0.3733512719013557,0.1509433962264151,0.018867924528301886,45,0.13063681719452705,0.5146261320754717
"two NPs, upper [111]",False,12.0,100,0.0016168574430224973,0.002880332100049611,1.0,0.0,0,,0.9999275
"two NPs, lower [100]",False,1.5,1,0.2659182244249681,0.2659182244249681,0.0,0.0,1,,0.77842
"two NPs, lower [100]",False,3.0,36,0.35964821818065273,0.5185506884050894,0.0,0.3888888888888889,36,0.8667380496881233,0.1553719444444444
"two NPs, lower [100]",False,6.0,53,0.005874461658152122,0.009276437827991533,1.0,0.0,0,,0.9994675
"two NPs, lower [100]",False,12.0,100,0.0019391506894868727,0.003830577156376043,1.0,0.0,0,,0.99992
