rngi,shift_x,shift_y,ncc_peak,shift_x_0,shift_y_0,registration_error
0,-0.14,1.3,0.9579245507569306,-0.17036347766379834,1.317234894774714,0.9999934410203778
1,1.02,-2.0,0.9647226759732419,1.0958902500590568,-2.0197231622939142,0.9999953520003892
2,-0.06,-1.08,0.9810549047707355,-0.10658152859598147,-1.149617411694038,0.999985247612722
3,-0.38,-1.88,0.8939176908526649,-0.35421148877556163,-2.0123093035181228,0.9999993143831395
4,-0.06,0.92,0.986183947950162,-0.10448867571959397,0.9435392540282805,0.9999841701517043
5,-1.28,-0.52,0.9396704843077328,-1.3399734950088202,-0.5595871102166683,0.9999923510107532
6,0.04,-1.88,0.9847908150467347,0.09357588152207086,-1.8926027803994714,0.999980765057973
7,-0.64,1.06,0.95875501719475,-0.59856125023515,1.1242011286435627,0.9999891598133267
8,-0.44,-1.02,0.9555618951159564,-0.47673179405775556,-1.0569951672821247,0.9999864656709903
9,-1.56,-0.14,0.9621207372689746,-1.6481001527654797,-0.16471268020943342,0.9999899643106395
0,-1.04,1.22,0.9623791472725078,-1.1613200352110766,1.2287628689319945,0.9999908241963025
1,-0.16,0.5,0.9564815831405833,-0.24734269234441797,0.6403467874436046,0.9999897306639274
2,-0.02,1.06,0.9843437667388618,-0.08230212885665367,1.1187822894106603,0.9999829576053878
3,0.02,0.44,0.9551502389158993,0.11146571465747002,0.4802699968054185,0.9999837001218345
4,0.24,-0.1,0.9669288659693216,0.35143425582234045,-0.10880749772353226,0.9999873296513074
5,-0.96,-1.18,0.9651549027114783,-0.9715634254782088,-1.2574247169599886,0.9999948609802893
6,-1.1,-0.1,0.9768058581909004,-1.2057621867420636,-0.10847853234518823,0.9999857387760821
7,1.7,0.14,0.9438050100858696,1.6970260685537824,0.18739703476433078,0.9999950591690319
8,0.94,0.04,0.9882786453908158,0.9287000950121467,0.05790056505665575,0.9999796382908929
9,-1.26,1.32,0.9261794505656025,2.0418228875422244,-0.7189787843566791,0.9999968369490555
10,0.88,-0.6799999999999999,0.8810984046473568,0.5897857985479504,-0.35485988078407615,0.9999988182783311
