rngi,shift_x,shift_y,ncc_peak,shift_x_0,shift_y_0,registration_error
1,1.02,-2.0,0.9647226759732419,1.0958902500590568,-2.0197231622939142,0.9999953520003892
2,-0.06,-1.08,0.9810549047707355,-0.10658152859598147,-1.149617411694038,0.999985247612722
4,-0.06,0.92,0.986183947950162,-0.10448867571959397,0.9435392540282805,0.9999841701517043
5,-1.28,-0.52,0.9396704843077328,-1.3399734950088202,-0.5595871102166683,0.9999923510107532
6,0.04,-1.88,0.9847908150467347,0.09357588152207086,-1.8926027803994714,0.999980765057973
7,-0.64,1.06,0.95875501719475,-0.59856125023515,1.1242011286435627,0.9999891598133267
8,-0.44,-1.02,0.9555618951159564,-0.47673179405775556,-1.0569951672821247,0.9999864656709903
9,-1.56,-0.14,0.9621207372689746,-1.6481001527654797,-0.16471268020943342,0.9999899643106395
0,-1.04,1.22,0.9623791472725078,-1.1613200352110766,1.2287628689319945,0.9999908241963025
2,-0.02,1.06,0.9843437667388618,-0.08230212885665367,1.1187822894106603,0.9999829576053878
3,0.02,0.44,0.9551502389158993,0.11146571465747002,0.4802699968054185,0.9999837001218345
6,-1.1,-0.1,0.9768058581909004,-1.2057621867420636,-0.10847853234518823,0.9999857387760821
7,1.7,0.14,0.9438050100858696,1.6970260685537824,0.18739703476433078,0.9999950591690319
8,0.94,0.04,0.9882786453908158,0.9287000950121467,0.05790056505665575,0.9999796382908929
9,-1.26,1.32,0.9261794505656025,2.0418228875422244,-0.7189787843566791,0.9999968369490555
12,-1.98,-0.28,0.9480325151578827,-2.101503479694827,-0.2761474322619506,0.9999938873908567
15,-0.8200000000000001,-1.52,0.9466444937230134,-0.7312087857762037,-1.5788458334421591,0.9999912817459423
17,0.56,-0.6599999999999999,0.9397168487772672,0.5361488719596537,-0.6715581769439183,0.9999912647932844
18,-0.54,-1.66,0.9437748895523677,-0.5671498345717509,-1.6950831137293676,0.9999906712754495
20,-0.6799999999999999,1.0,0.9642603433741952,-0.622796256352288,1.0447624422064052,0.9999893996466745
21,0.06,0.98,0.985745002997652,0.1300597014186451,1.0390223742582805,0.9999809905447752
22,-0.96,0.62,0.9676887835000896,-0.9417223449646741,0.654036038859573,0.9999861197691652
23,-1.08,0.98,0.9802352430755952,-1.1754880748055,1.0311938521434172,0.9999869131096898
24,-1.04,0.8,0.9748115268468156,-1.0867229955441076,0.7988841535936331,0.9999906237440049
26,0.18,-0.5,0.9412672933195523,0.2873413026472633,-0.50285591568516,0.9999887680465344
29,-0.1,-1.8599999999999999,0.9778651303022645,-0.16883858472563418,-1.882523402661306,0.9999867827745902
30,0.32,0.48,0.9348305655736753,0.40581180683435036,0.5477117166095695,0.9999926153851294
31,-1.08,-1.16,0.9697397450713983,-1.1849113115784888,-1.200908215781567,0.9999897294926212
32,-1.06,0.3,0.9637210938189127,-1.1492722687316785,0.33077258538969545,0.9999875644370072
33,-0.84,0.16,0.9710659231000871,-0.7647890464364622,0.18982334871486728,0.9999855412226968
36,0.5,-1.72,0.9434628001274934,0.5379883391802309,-1.7338547155110007,0.9999923263809177
37,-0.5800000000000001,0.74,0.9496537830687733,-0.5575904489889894,0.775440224493309,0.9999920255275668
40,-1.08,-1.52,0.9528246049031469,-1.196844906686536,-1.6161942287598379,0.9999920961192723
42,0.96,0.3,0.9696959714070852,0.9853241100964567,0.33272735095866324,0.9999840394711588
43,-0.88,0.88,0.9774940859953266,-0.7841416788145636,0.9032096257376452,0.9999871825051269
45,-1.94,-0.62,0.9543443133289228,-1.9893045856850193,-0.6658738397502617,0.9999923493811597
46,0.84,-0.04,0.9818897886596452,0.8002919335787624,-0.03582645300691922,0.9999838922526256
47,-0.48,1.0,0.9566310795946591,-0.5333072692905034,1.0315780419655312,0.9999893753575712
48,-0.78,0.6,0.8784564869662932,-0.7429127804917073,0.8600655879774877,0.9999993165088126
49,0.08,1.12,0.9748351537662657,0.18156793278907912,1.1742740240953822,0.9999849603984887
51,-0.5800000000000001,-2.02,0.9457293031153529,-0.5621571803220888,-2.1235943987599057,0.999994678267097
54,-0.76,1.06,0.9668351258440754,-0.6907972644151386,1.1327358783367742,0.9999877914492636
58,-1.06,-0.54,0.9500127535701145,-1.1623141637671068,-0.5160878140250276,0.9999869951798546
60,-1.28,-0.5800000000000001,0.9386497800208642,-1.3821145461162274,-0.5929626903352556,0.9999923909259109
