rngi,shift_x,shift_y,ncc_peak,shift_x_0,shift_y_0,registration_error
0,-0.1,-0.3,0.9277754698074122,-0.21417587858361742,-0.32466413806994154,0.999927012565645
1,-0.06,-0.18,0.9302875770583241,-0.21294457390720822,-0.3231368363956051,0.9999059960156639
2,-0.06,-0.2,0.9315840708376684,-0.21403015999953823,-0.3118457595631625,0.9999105536623228
3,-0.04,-0.14,0.9310260914392827,-0.21680659397978275,-0.3167692120599881,0.9998980390976983
4,-0.1,-0.24,0.9306555204417093,-0.2101754658060031,-0.322457734192966,0.9999168142156999
5,-0.08,-0.26,0.9320204653379871,-0.20481442341294098,-0.318013550486981,0.9999265681253248
6,-0.04,-0.12,0.9237849884221626,-0.21327273003120695,-0.3290561978832969,0.9999229644914689
7,-0.08,-0.26,0.9342931627236033,-0.20633675455225386,-0.3055074549214538,0.999910789285491
8,-0.06,-0.18,0.9296843196511123,-0.20320453558501583,-0.3151531294599721,0.9999207868432198
9,-0.08,-0.18,0.9295654045174095,-0.2147375686111559,-0.3240765024605423,0.9999153170838538
10,-0.02,-0.16,0.934047004762643,-0.21045655501018246,-0.3112915015332618,0.9999089150168989
11,-0.12,-0.2,0.9308227370756648,-0.21598718152515062,-0.317723413883229,0.9999215943913152
12,-0.08,-0.14,0.9280450254374593,-0.2214913949544126,-0.30999056863431207,0.9999251489488985
13,-0.04,-0.2,0.935274509940961,-0.2027702422942781,-0.30834628604768,0.9999114352365556
14,-0.08,-0.2,0.9322245894406306,-0.21436352736064634,-0.30716998608080104,0.9999040572655855
15,-0.06,-0.12,0.9320904944454609,-0.20417120510533948,-0.31618107483589597,0.9998939692509492
16,-0.08,-0.1,0.9338752844558804,-0.20196007199362498,-0.3024087025144482,0.9998905062586191
17,-0.06,-0.18,0.9334137868840104,-0.21179626673219332,-0.30055541997676016,0.9999065221568694
18,-0.12,-0.22,0.9223781031026872,-0.22377745651149894,-0.3309211216493182,0.9999269512267565
19,-0.08,-0.14,0.9270996883596654,-0.2125740504258431,-0.32668063062447317,0.9999230627845743
20,-0.06,-0.16,0.9304183841811551,-0.20651914372611202,-0.3254746386200793,0.9999157861801635
21,-0.04,-0.12,0.9335550597010732,-0.21049101188621933,-0.3085773850156315,0.999921334293266
22,-0.08,-0.32,0.9238554609474632,-0.21795722108119264,-0.3288336882662577,0.9999385155283188
23,-0.06,-0.4,0.9312613040962032,-0.20368306622337684,-0.32888896448083216,0.9999177892288806
24,-0.04,-0.2,0.9289433594588237,-0.20300576770910084,-0.3227847919740867,0.999915459600534
25,0.0,-0.26,0.9299824289943119,-0.21107694000662036,-0.31500821019919556,0.9999271389546438
26,-0.08,-0.28,0.926581388942102,-0.20857543323873529,-0.3221558838472376,0.9999128602488884
27,-0.08,-0.2,0.9295016042420211,-0.22040477129053215,-0.3096914760252858,0.9999187427371502
28,-0.08,-0.14,0.9314835988755703,-0.20509833245209563,-0.30474630328650676,0.9999151883858884
29,-0.08,-0.2,0.9235728920625184,-0.2195814521293613,-0.3217667994571016,0.999924736334409
30,-0.08,-0.22,0.9289785133271788,-0.20795369805746589,-0.32271690798334873,0.9999171280513073
31,-0.08,-0.18,0.9315396659238703,-0.22372020729066833,-0.3058948285101337,0.9999109716110928
32,-0.06,-0.14,0.9306426520443916,-0.20591746025840507,-0.31573274872857127,0.9998974336814825
33,-0.08,-0.24,0.9266685988296938,-0.2224412573838066,-0.3224842524759808,0.9999068592530226
34,-0.02,-0.34,0.9293011243994648,-0.20544865389283018,-0.32520790315280834,0.9999221166064898
35,-0.06,-0.2,0.93156034087376,-0.20787983235233298,-0.32145722931583265,0.9999203768489774
36,-0.08,-0.2,0.9318599397222407,-0.20259732817569898,-0.3219889343367015,0.9999107562325062
37,-0.08,-0.3,0.9315752838014281,-0.20970332676515113,-0.3146540415593293,0.999923349968072
38,-0.06,-0.14,0.9329761518205619,-0.21545568563882966,-0.30794987181468514,0.9999164634113936
39,-0.1,-0.3,0.9289982094621501,-0.2187760326340964,-0.32499814945832384,0.9999163325613581
40,-0.04,-0.16,0.9325774117868633,-0.21691274641919733,-0.3066156879161639,0.9998950414738369
41,-0.06,-0.14,0.9279961063526296,-0.207425674317534,-0.3234835362856856,0.9999154722941548
42,-0.06,-0.12,0.9331501486413523,-0.212850509957633,-0.30581702051823356,0.9999042581268112
43,-0.08,-0.16,0.934267733996043,-0.20964594658831004,-0.30582063931349524,0.9999148771399528
44,-0.06,-0.34,0.9307331230859964,-0.20103590483606126,-0.3363310371527177,0.9999126519252721
45,-0.06,-0.12,0.9320065549094703,-0.20554199192103795,-0.3175059856409064,0.9998934605320936
46,-0.14,-0.12,0.9235042900008965,-0.21786152932978098,-0.3291829141258873,0.9999372047142314
47,-0.02,-0.1,0.9314898066809848,-0.2175423967653245,-0.2979251317915086,0.999921007040534
48,-0.06,-0.18,0.9309741473054087,-0.21043954136614218,-0.3247607037433866,0.9999086920125122
49,-0.08,-0.32,0.9293814654480493,-0.1980561665587146,-0.33332164652649254,0.9999129097387291
50,-0.02,-0.1,0.9363528145664359,-0.20720498052297387,-0.2983765169589816,0.9998829354323199
51,-0.08,-0.14,0.9296921427227219,-0.21390032798274206,-0.3104232107242879,0.9999182673888709
52,-0.06,-0.12,0.9302751431646796,-0.20629962094616872,-0.33049993389152377,0.999906376807806
53,-0.06,-0.12,0.930693509475775,-0.21264709034294071,-0.3095787799169969,0.9999119913733553
54,-0.12,-0.22,0.927359439383364,-0.21707837711335287,-0.32090573109955045,0.9999345007281236
55,-0.08,-0.32,0.9307941785367144,-0.21510285472081137,-0.3059724297952897,0.9999314174678213
56,-0.06,-0.2,0.9237114094666768,-0.21442478969809997,-0.33955667589869165,0.9999263024935032
57,-0.04,-0.18,0.9293626923594955,-0.20536347866861604,-0.3221115356735851,0.9999319831552314
58,-0.06,-0.16,0.9310800278584146,-0.20863016632843312,-0.3093649968756722,0.9998953086709097
59,-0.1,-0.2,0.9302840177233023,-0.2141855422363932,-0.3038424284384291,0.9999250783262985
60,-0.04,-0.16,0.9290104794518652,-0.20941696548969446,-0.3187561276014179,0.9999229870374357
61,-0.08,-0.28,0.9301816938502414,-0.21354184624547656,-0.31513282212422666,0.9999225313268854
62,-0.08,-0.36,0.9302233332675119,-0.2164720203554964,-0.3207294472054443,0.9999375857283241
63,-0.04,-0.16,0.9275181955102316,-0.21810618349455524,-0.3183085961008132,0.999907141479911
64,-0.04,-0.2,0.9323741531281631,-0.206423524222501,-0.3202268158361008,0.9999020518186091
65,-0.02,-0.18,0.9293740313149053,-0.2077465538966976,-0.310980346553805,0.9999160063264804
66,-0.08,-0.18,0.9313427848150853,-0.2168668071432478,-0.3107050739193866,0.9999097049073832
67,-0.04,-0.2,0.9265282479339358,-0.2148303601854309,-0.326709999400677,0.999917284936573
68,-0.08,-0.22,0.9302326793198215,-0.21316847167608444,-0.3149067308918134,0.9999069590127523
69,-0.08,-0.28,0.9241367469603428,-0.21657926580270725,-0.3278441332465718,0.9999379838159527
70,-0.04,-0.12,0.9297028396057943,-0.2107444525844926,-0.3120182154739055,0.9999086149251325
71,-0.02,-0.16,0.9278017555612329,-0.21411707107577627,-0.323052063276279,0.9999087625841466
72,-0.04,-0.3,0.9313820271497781,-0.2060876549032571,-0.30904645979164513,0.9999160423525202
73,-0.04,-0.28,0.9298141354376213,-0.2050277672227736,-0.32005152086657773,0.9999129867541958
74,-0.12,-0.24,0.9261862112718123,-0.21914546010324898,-0.31810479889625043,0.9999176285598308
75,-0.08,-0.22,0.9268231931508071,-0.20739353642062497,-0.3231154675367449,0.9999200529321659
76,-0.04,-0.12,0.9296919419748223,-0.21203425241922957,-0.32331701560251247,0.9999048116986865
77,-0.04,-0.16,0.9290885338428716,-0.20807899845100053,-0.31633464179247994,0.9999240864342264
78,-0.06,-0.26,0.9274349787642893,-0.21988147332059782,-0.3177622735565251,0.9999189714340403
79,-0.06,-0.22,0.9288858648708527,-0.21904329265422007,-0.31694878943752514,0.9999149815313714
80,-0.02,-0.14,0.9282359164369285,-0.21590711386861017,-0.31830977564626295,0.99990054532913
81,-0.04,-0.2,0.9313928607803393,-0.21747000865522637,-0.31156597974207045,0.9999083351428124
82,-0.1,-0.12,0.9321662791189089,-0.21929206228854525,-0.3039368808611158,0.9999029315009262
83,-0.06,-0.22,0.9309295070557821,-0.21851798990789462,-0.30924873884493564,0.9999239320311909
84,-0.06,-0.1,0.9273288743852242,-0.21215437419904504,-0.3312069293949733,0.9998957291813025
85,-0.06,-0.2,0.9276599395033803,-0.21443312654160707,-0.3238896930985362,0.9999016412736349
86,-0.06,-0.16,0.9313479904510726,-0.2079643428886584,-0.32069314803406,0.999923080876912
